# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$ $T_\mathrm{vir}$ $E_0$ $L_\mathrm{X}$
8.011154435575008614e-01 9.759339634329080582e-01 6.725740412250160727e-01 4.627901297062635144e-02 3.622486096620559648e-01 2.861921753734350204e+01 4.635705810412765082e+00 9.557350169867277145e+02 3.978287597186863422e+01
8.917713470757007155e-01 9.486889310181141344e-01 6.420265167579054522e-01 5.825753850862383509e-02 3.041652950644493369e-01 2.677215453237295151e+01 4.439716602489352404e+00 4.786097760312259197e+02 4.067700200900435448e+01
8.819062696397305112e-01 9.855517167598009109e-01 6.808358338475226645e-01 5.009113527834415519e-02 3.911025518178939953e-01 2.508148368913680315e+01 4.564691325277090428e+00 6.196016611531376839e+02 4.013739872723817825e+01
8.100430996716022625e-01 9.377967350184918116e-01 6.504053542762994189e-01 4.443603197112679787e-02 2.930872341990470864e-01 3.067579832393676043e+01 4.360682103782892227e+00 1.040484735835343599e+03 3.927377507649362087e+01
7.664949907362461623e-01 9.693114148080349546e-01 7.155127064883708421e-01 5.907506145536899067e-02 2.741246491670608632e-01 3.186250609345734119e+01 4.615238506346940994e+00 8.951715026982128620e+02 3.999409553781151772e+01
8.559208743274211439e-01 9.565564513951539949e-01 6.251015879958867760e-01 4.607557991519570240e-02 3.322910484671592890e-01 2.251907837577164173e+01 4.410068046301603317e+00 4.160678626969456673e+02 4.060656000114977360e+01
8.295588652789592787e-01 9.725163635611534518e-01 6.670612802729010138e-01 4.879113951697945650e-02 3.574715967476367884e-01 2.574089696630835533e+01 4.686841059103608487e+00 8.534530179575085640e+02 3.972047234512865543e+01
7.577103246748447818e-01 9.403875973075628281e-01 6.965217662230134277e-01 5.573595382273197063e-02 2.592364571988582389e-01 2.758429786190390587e+01 4.487726860120892169e+00 3.743485380895435810e+02 4.086441705003380775e+01
7.838375122845172571e-01 9.912566848844289735e-01 6.173807508870958749e-01 4.043129781261086547e-02 3.179265172779560111e-01 3.483683553989976645e+01 4.536252631619572817e+00 6.895549287088215351e+02 4.039504215680062771e+01
8.732780633866786824e-01 9.241279378533363564e-01 7.068291856721042876e-01 5.471926964819431166e-02 3.760099659860134391e-01 2.174249050673097372e+01 4.338296524062752901e+00 1.110438843257725239e+03 3.900042653828859329e+01
8.700604633986950276e-01 9.720252372324467149e-01 6.877234266325831236e-01 5.859128633514046336e-02 2.484916526079177790e-01 2.270248645916581154e+01 4.520165346190333722e+00 1.054758794233202934e+03 4.089404062554240227e+01
7.818888618052005635e-01 9.447802052646875337e-01 6.572853868082165762e-01 4.657064653933048332e-02 3.454033216834068165e-01 3.210447931662201881e+01 4.305217048153281212e+00 6.336414034478366375e+02 3.950740570016205311e+01
7.558992381393909721e-01 9.932654444128274918e-01 7.092771839722991079e-01 5.194958427920937094e-02 3.667498821020126476e-01 3.047777125146239996e+01 4.669142353162169634e+00 4.302483673207461834e+02 3.922482699155807495e+01
8.265166710317134457e-01 9.210204310715198739e-01 6.188585195317863885e-01 4.258582271635532462e-02 3.099996706843376471e-01 2.482483425643295050e+01 4.456160957738757311e+00 9.091468703001737595e+02 4.036213378421962261e+01
8.577325962483882682e-01 9.899090760201215700e-01 6.453494615852832794e-01 4.221542693674564667e-02 2.847702892124652774e-01 2.148598328698426485e+01 4.628252772986888530e+00 3.603465612977743149e+02 3.949810270778834820e+01
7.695365615189075914e-01 9.370378178358078625e-01 6.748174934834241245e-01 5.294643202796578407e-02 3.816087733209133637e-01 3.463889345992356539e+01 4.446324491500854847e+00 8.392441908828914165e+02 4.010438770055770874e+01
8.132612849771976293e-01 9.661689639091491921e-01 6.387920331954956010e-01 4.822999276220798354e-02 3.206128616631030992e-01 2.782618441618978977e+01 4.579219165444373907e+00 1.096425710152834654e+03 4.063601988740265369e+01
8.838543228805064711e-01 9.582977258414030475e-01 7.282480282336473154e-01 5.630534032359718610e-02 2.636135314404964292e-01 2.592416116036474705e+01 4.395327128469944000e+00 6.753091927617788315e+02 3.978089503571391106e+01
8.949706925451755835e-01 9.951604494452476191e-01 6.320536834374069768e-01 5.438895504921674451e-02 3.516445358097553542e-01 2.376136537175625563e+01 4.620399672165513394e+00 3.101687480695545673e+02 3.928741719573736191e+01
8.030824987590312602e-01 9.280317022651434211e-01 7.216270085796713252e-01 4.013699395582080026e-02 2.547327338159084409e-01 2.941796447616070509e+01 4.404293285682797432e+00 7.875274317339062691e+02 4.017453979514539242e+01
7.791294203698635457e-01 9.789202066510915845e-01 6.517362495139240597e-01 5.602972369641065487e-02 3.137389011681079865e-01 3.294850774109363556e+01 4.571349425986409365e+00 1.148251445777714252e+03 4.058114193752408028e+01
8.484521539509296550e-01 9.467914405465126526e-01 6.813213254138826835e-01 4.912214083597064157e-02 3.704892848432064234e-01 2.354285277426242828e+01 4.353276130929589094e+00 7.255977024324238300e+02 3.994530060328543186e+01
8.373156698048115354e-01 9.629075641185045331e-01 7.007811609655618668e-01 4.574274761602282330e-02 3.953671008348464966e-01 2.699890269897878170e+01 4.531233324855565847e+00 9.939223383553326130e+02 4.082336976565420628e+01
7.454128085076808796e-01 9.501526014506816997e-01 6.102451655268669173e-01 5.878312271088361601e-02 2.985284456610679538e-01 2.890458806417882442e+01 4.344216290861368179e+00 5.712694348767399788e+02 3.971854900196194649e+01
7.917893259227275493e-01 9.816479407250880973e-01 6.961022623628377870e-01 4.472728414461016322e-02 2.798747581243514748e-01 3.381346146110445261e+01 4.680242515355348409e+00 4.925130726769566536e+02 3.906094025634229183e+01
8.610974301397800179e-01 9.338929582387209827e-01 6.655471776425838648e-01 5.042450170964002387e-02 3.368742224574089450e-01 2.065688917879015207e+01 4.495189242810011088e+00 9.698709164746105671e+02 4.041655399650335312e+01
8.682831586897372667e-01 9.847442981600761369e-01 7.172457908093928802e-01 4.783819586038589450e-02 3.004332703351974554e-01 2.896547588519752026e+01 4.312905618548392717e+00 5.098348111845552921e+02 4.020742331631481647e+01
7.989785926043987407e-01 9.319121064990759651e-01 6.277648552507162361e-01 5.732221575453877449e-02 3.634434005618095709e-01 2.712115946225821972e+01 4.512422700226307093e+00 9.324748283252120018e+02 3.931303777918219566e+01
7.425985704362392248e-01 9.609846170991659386e-01 6.788170906901359603e-01 4.135489910840987882e-02 3.449501949548721136e-01 2.034046194050461054e+01 4.463903032243251801e+00 1.003290349803864956e+03 3.990735116414725780e+01
8.345049126446246746e-01 9.531524446606636225e-01 6.493167797476052661e-01 5.318203838542103629e-02 2.417786082625389132e-01 3.343389144632965326e+01 4.661456257104873657e+00 5.259453923441469669e+02 4.055253063142299652e+01
8.406427891552448184e-01 9.771485502272844181e-01 6.148859263584017798e-01 5.171641917899250790e-02 2.665788359940052255e-01 3.021036937367171049e+01 4.435458188876509666e+00 1.186516140494495630e+03 3.968075190484523773e+01
7.713137899339198578e-01 9.499425749480724379e-01 7.052791925147176011e-01 4.344390898942947221e-02 3.298185537755489172e-01 2.461697026621550322e+01 4.639064623042941093e+00 7.091720363125205040e+02 4.079491129331290722e+01
8.052731196582317841e-01 9.984082506597041773e-01 6.683182975277304205e-01 5.757685216143727108e-02 3.886630137264728835e-01 2.296185601502656937e+01 4.384514323994516793e+00 3.546241840347647667e+02 4.044952931627631187e+01
8.971550668776036019e-01 9.262022937089204877e-01 6.987236005440353726e-01 4.696000188589095903e-02 2.855841432511806444e-01 3.230619926005601883e+01 4.590087571367621244e+00 7.772633478976786137e+02 3.908665214665234089e+01
8.866697959601879120e-01 9.680748213827610194e-01 6.615800852328538317e-01 4.387157952412962941e-02 3.797040171921253204e-01 3.448277269024401903e+01 4.415111524611711857e+00 1.143366812914609909e+03 3.959500533901154995e+01
8.160708166658878771e-01 9.552807924896479230e-01 6.921024322509765625e-01 5.065528009086847638e-02 3.166940210759640051e-01 2.138568107504397631e+01 4.609539758414030075e+00 6.644820495508611202e+02 4.098988024145364761e+01
7.623520393669604989e-01 9.868346909433602931e-01 6.212725763767957821e-01 4.535581206902861845e-02 2.555375464260578044e-01 2.632112999446690083e+01 4.364138527959585012e+00 3.994214876554906368e+02 4.026959029771387577e+01
8.505421136319637476e-01 9.390406425297260773e-01 7.117831726372241263e-01 5.979513201862573374e-02 3.587089620530605760e-01 2.816910852678120136e+01 4.560530612617730739e+00 8.205251388251781464e+02 3.912587458267807961e+01
8.243272756040096461e-01 9.900298505276441396e-01 6.703209266439079661e-01 5.501039002090692132e-02 3.335571736097335815e-01 3.127545667812228203e+01 4.336479653790592970e+00 4.419647164642810822e+02 4.001193553581833839e+01
7.537136287987231675e-01 9.228620463609695790e-01 6.407035708054900081e-01 4.951640045270323809e-02 2.703176280856132707e-01 2.192745132371783257e+01 4.538927904143929659e+00 8.630675076507031918e+02 3.939924208261072636e+01
7.896994425356388403e-01 9.737700378894805775e-01 7.256247680261731503e-01 5.415085230022669005e-02 2.918259674310684226e-01 2.542781462427228689e+01 4.487496757879853249e+00 1.072588640358299017e+03 3.986864749342203140e+01
8.778748874366283372e-01 9.416022156924009900e-01 6.360265014693140539e-01 4.100002264603972574e-02 3.949047049880027860e-01 3.102487584110349417e+01 4.687978200986981925e+00 5.937047369778156281e+02 4.073201186023652554e+01
8.795069779455662040e-01 9.654048458486795825e-01 7.275023251771927102e-01 5.083766561001538953e-02 3.467657002806663336e-01 3.250692508183419704e+01 4.632312686741352437e+00 5.372571763582527637e+02 4.035322681255638599e+01
7.876059667766094341e-01 9.576504750549793554e-01 6.378990174084901987e-01 4.401046795770525988e-02 2.499222379922866888e-01 2.316258183680474758e+01 4.442378172278404591e+00 1.014390675164759159e+03 3.924743063375353813e+01
7.539809523522853496e-01 9.891451646387576790e-01 6.759438408911228047e-01 5.997904341667890243e-02 3.084615060687065369e-01 2.432102250400930643e+01 4.581309312582016346e+00 9.218152502551674843e+02 3.952826745621860027e+01
8.232908685505390123e-01 9.363908133655787225e-01 6.463306116312742544e-01 4.549500567838549864e-02 3.654560106992721380e-01 2.991442161146551371e+01 4.393314145505428314e+00 4.989611861295998096e+02 4.088290444016456604e+01
8.521522481739520760e-01 9.926626133918762251e-01 6.193991583213209751e-01 4.961569232866167717e-02 3.805590473115444405e-01 3.325331437867134809e+01 4.516193021461367252e+00 7.674835276789963245e+02 3.975465980172157288e+01
7.602658663690090579e-01 9.205344592779874935e-01 7.099065426364541409e-01 5.523252468556165418e-02 2.836520512402057603e-01 2.015988487284630537e+01 4.309254115447402000e+00 3.446286136284470558e+02 4.064080698601901531e+01
8.163112680613994199e-01 9.714223139733075829e-01 6.559539751335978774e-01 4.110084040090442037e-02 2.648390434682369454e-01 2.744091808795928955e+01 4.667155339941382763e+00 7.196040624752640724e+02 4.011085469648241997e+01
8.856358517706394151e-01 9.442941778898239491e-01 6.864786194637417793e-01 5.437329214066266569e-02 3.215943856537342160e-01 2.928523451089859009e+01 4.458273939415812848e+00 1.196738411206752062e+03 3.947403660602867603e+01
8.955400471389294292e-01 9.824069496244192123e-01 6.626921822875737611e-01 5.745194891467690634e-02 2.536830078065395178e-01 3.097840928006917238e+01 4.533250235766172587e+00 8.316167671233415604e+02 3.996543731354176998e+01
8.073446418344975006e-01 9.345350995659829074e-01 6.930997817218303991e-01 4.801264680922031486e-02 3.505262978374958371e-01 2.538134806323796511e+01 4.342130059748887660e+00 4.107419687323272228e+02 4.057074605673551559e+01
7.710684581100940571e-01 9.636668190360069275e-01 6.130125138908624205e-01 5.331085601821541897e-02 3.717147968709468842e-01 2.231814906932413578e+01 4.684180364757776438e+00 6.536031740717589855e+02 4.016588580049574375e+01
8.416620872914790663e-01 9.507949497550726159e-01 7.034025672078132452e-01 4.152721382677555112e-02 3.147204251587391033e-01 3.166615442372858524e+01 4.491120847314595821e+00 1.132712485268712044e+03 3.930978311970829964e+01
8.328777073323726521e-01 9.795279942452908006e-01 6.844400073960423825e-01 4.365688838064670646e-02 2.998908242583274708e-01 2.821008907631039619e+01 4.618290594592690645e+00 5.837039027363061905e+02 4.042374553158879280e+01
7.447066970169544664e-01 9.472823692113161442e-01 6.549438221380113889e-01 5.180777648463845420e-02 3.967976862192154064e-01 2.636211054399609566e+01 4.406284191086887958e+00 1.062814083974808455e+03 3.903613435663282871e+01
7.987161494791508165e-01 9.957681817561387927e-01 7.191233468428254172e-01 4.717206574976444411e-02 3.353360578417777793e-01 2.098583520855754614e+01 4.567303865030408083e+00 8.732810947112739086e+02 3.969206320494413376e+01
8.693342117965221494e-01 9.285225383937358856e-01 6.296373691782355397e-01 5.766607323661446238e-02 2.785808867216110207e-01 3.408292682375758886e+01 4.357239950075745050e+00 4.524054262787103653e+02 4.082839216850697994e+01
8.615185813605785725e-01 9.975368603318929273e-01 6.979752340540289479e-01 4.024261808022856768e-02 3.649716469645500339e-01 2.576736634597182274e+01 4.425070461258291843e+00 9.134339421987533569e+02 4.054558539018034935e+01
7.909067846834659798e-01 9.253696468472480952e-01 6.674242759123444335e-01 5.460643563419580182e-02 3.017370599508285567e-01 2.766938960179686546e+01 4.649576817080379065e+00 4.343109047971665859e+02 3.993191458471119404e+01
7.468910713493823739e-01 9.762770673632621410e-01 7.064086611196398469e-01 4.922623908147216037e-02 2.404261478781700156e-01 3.492017847951501608e+01 4.376050586625933825e+00 6.300204849801957607e+02 3.933976556360721588e+01
8.350683282315731759e-01 9.491098728030920029e-01 6.158676244691013713e-01 5.624689910560846245e-02 3.435096913576126121e-01 2.176726830657571554e+01 4.598614549264311790e+00 1.050909009575843811e+03 4.020215511135756969e+01
8.488513539731502577e-01 9.605671833455562414e-01 6.498600819706916720e-01 5.896222744137048777e-02 3.286026547849178470e-01 2.499077719170600176e+01 4.323391902446746649e+00 6.725663021206855774e+02 3.906626963429152966e+01
7.782541866600513059e-01 9.527737439423800136e-01 6.794474551826715780e-01 4.588690018281340460e-02 2.655876989662647181e-01 3.064371418673545122e+01 4.502012030780315754e+00 1.093455710168927908e+03 4.046016718447208405e+01
8.045338846743106398e-01 9.843270713835954311e-01 6.264303223788738606e-01 5.060208056122064701e-02 2.866242562234401769e-01 3.182868030853569508e+01 4.472455884516238989e+00 8.426532349549233913e+02 4.080332280881702900e+01
8.927258090674877744e-01 9.315336517989636356e-01 7.160004355758428085e-01 4.487113153561949480e-02 3.897908647358417911e-01 2.242668745107948780e+01 4.653015449643135071e+00 3.635293141007423401e+02 3.965863227471709251e+01
8.834502424299717216e-01 9.746561507135629299e-01 6.331686781719326751e-01 4.677775114774704313e-02 3.154781220853328794e-01 2.071798987220972776e+01 4.327942680194973413e+00 7.296654769219458103e+02 3.915186399966478348e+01
8.141218726336956202e-01 9.424495847523213232e-01 7.226214603707193929e-01 5.868531377986073438e-02 3.787128801643848686e-01 3.387456215452402830e+01 4.547381633892655373e+00 1.152533280663192272e+03 4.026504520140588284e+01
7.680802904069423676e-01 9.909159077703952878e-01 6.434732893481850402e-01 4.279384285211563360e-02 3.597490750253200531e-01 2.846993070095777512e+01 4.476986965909600436e+00 7.836863575503230095e+02 4.098317078128457069e+01
8.599628289043903528e-01 9.237093231827021578e-01 6.729436176642775713e-01 5.204574795439839002e-02 2.566653974354267120e-01 2.656424533575773239e+01 4.698368318751454886e+00 3.065391191281378269e+02 3.961931771971285343e+01
8.261004002392291490e-01 9.872372496128082320e-01 7.149046825617552114e-01 5.308020861819386094e-02 2.718458744883537337e-01 2.345794121734797955e+01 4.423542312532663168e+00 9.669095867313444614e+02 4.074116511084139347e+01
7.567964254319667905e-01 9.394044684618712004e-01 6.244809760153293698e-01 4.238293498754501509e-02 3.348609632253646828e-01 3.286359618417918682e+01 4.600976874679327366e+00 4.897615117952227592e+02 3.984580138698220253e+01
7.804154841601849135e-01 9.684776263684033992e-01 6.895964003354311256e-01 5.644003244116901907e-02 3.935522446036339161e-01 2.983247308526188135e+01 4.374551575630903244e+00 5.744574649259448051e+02 3.937862232886254787e+01
8.723224557936191115e-01 9.556448251008987649e-01 6.591624861955642789e-01 4.839963704347610696e-02 2.903854638338089211e-01 2.417587398085743189e+01 4.550046695023775456e+00 9.973261051811277866e+02 4.002282590419054031e+01
8.741044898331165047e-01 9.879281137883663133e-01 6.117573133856057943e-01 4.453982504084706695e-02 3.228671465814113573e-01 2.684973477385938168e+01 4.381852859258651200e+00 1.166385080572217703e+03 3.987920806929469109e+01
7.834676693379879486e-01 9.351346934586763915e-01 7.012025496363639698e-01 5.030800551176071306e-02 2.610290439426898867e-01 2.869679777882993221e+01 4.593480800092220484e+00 7.437498763203620911e+02 4.051625490374863148e+01
7.599844841659069150e-01 9.666682989150285898e-01 6.651851614564656678e-01 4.618150921538471954e-02 2.823743842542171256e-01 3.360375071410089731e+01 4.432455022633075892e+00 3.204827561974525452e+02 4.023538756370544434e+01
8.280585910379886228e-01 9.588748602569103774e-01 6.946479295194148973e-01 5.929284721612930464e-02 3.843739433586597642e-01 2.050574357155710459e+01 4.642897400259971441e+00 7.978368482552468777e+02 3.934949992410838604e+01
8.567741729319096056e-01 9.701759584993123742e-01 7.211402446404099331e-01 5.591322749853133711e-02 3.691446432471275907e-01 2.396376978140324354e+01 4.466514804586767973e+00 4.756393468938767910e+02 4.047777889482676983e+01
7.661226849257946059e-01 9.430087640881538169e-01 6.307240983471273932e-01 4.893468173220753836e-02 3.072332030534744574e-01 2.956174652557820082e+01 4.658013347908855017e+00 9.529925554990768433e+02 3.912288236618041992e+01
8.123392151296138231e-01 9.939358302950859203e-01 6.827087398245930139e-01 5.489867955446243314e-02 2.462385126948356540e-01 3.309037648141384125e+01 4.315956939384340885e+00 9.832133799791336060e+02 3.965280413813889027e+01
8.803986926376820010e-01 9.217686166614293963e-01 6.522823716327548205e-01 4.057575555518269650e-02 3.479891055822372792e-01 2.374328665435314178e+01 4.508638089522719383e+00 5.605790591798722744e+02 4.075837157294154167e+01
8.909229288995266227e-01 9.648911583423614990e-01 6.744469518959521626e-01 4.873239312320947619e-02 2.772701105475425809e-01 2.156921625602990389e+01 4.483663520961999716e+00 4.203492684289813042e+02 4.029822083562612534e+01
8.015023954212665558e-01 9.520583581179380417e-01 6.439035397022961904e-01 5.673189496621489081e-02 3.391083842515945634e-01 3.466356128919869661e+01 4.690980895608663381e+00 8.992397063411772251e+02 3.916166286729276180e+01
7.750454701483249220e-01 9.811508565396070969e-01 7.297535943984985174e-01 4.209160659462213294e-02 3.981133314967155723e-01 2.785276555456221104e+01 4.333085774630307974e+00 1.036855536047369242e+03 3.956655364111065865e+01
8.469139711558818506e-01 9.333180743455886663e-01 6.392201180011033435e-01 5.274676596745848933e-02 2.961136382818221890e-01 2.600936465896666050e+01 4.541588706523180363e+00 6.157601578161120415e+02 4.095390554703772068e+01
8.382752363383769723e-01 9.970022896677255275e-01 6.586813257262110755e-01 5.237613892182707565e-02 3.109913741052150460e-01 2.266854176297783852e+01 4.367922275140881716e+00 1.107687711529433727e+03 3.983990880288183689e+01
7.488302697241305816e-01 9.297957046329975439e-01 6.882611386850475688e-01 4.308822307735681728e-02 3.729029472172260551e-01 3.201196948066353798e+01 4.557478416338563321e+00 6.865931698121130466e+02 4.069627075269818306e+01
7.927078111469745281e-01 9.782426108419894906e-01 6.183783363923430754e-01 5.839162027463316862e-02 3.542504809796810372e-01 3.038718187715858221e+01 4.418553379550576032e+00 3.777518757618963718e+02 4.004037242196500301e+01
8.645519171655178248e-01 9.460360453277826265e-01 7.079409036412834810e-01 4.644682619720697653e-02 2.524997158348560311e-01 2.479286724235862494e+01 4.606926919892430305e+00 8.566414771601557732e+02 3.943529268354177475e+01
8.673663221299647841e-01 9.750135874748230291e-01 6.412787685170769914e-01 5.404290117323398701e-02 3.860577009618282318e-01 3.148332206532359123e+01 4.576216573640704333e+00 3.964644486084580421e+02 3.919076053984463215e+01
7.955184109508991463e-01 9.478854524344205723e-01 6.716792654618620739e-01 4.080646017566323669e-02 2.878177542984485804e-01 2.207675157114863396e+01 4.399160480126738548e+00 8.175735664553940296e+02 4.033568009361624718e+01
7.416446794569492296e-01 9.987539666146040274e-01 6.347259776666760445e-01 5.552621819078921994e-02 2.693257699906825842e-01 2.557879929896444082e+01 4.625591882690787138e+00 1.118535388726741076e+03 4.092779859714210033e+01
8.310858218371868222e-01 9.266258114576340077e-01 7.251089427992700731e-01 4.994661727920174377e-02 3.274042589962482541e-01 3.123448287602514029e+01 4.449718294665217400e+00 6.396312111988663673e+02 3.953416030108928680e+01
8.447235076129436804e-01 9.830538240820169138e-01 6.906776327639818636e-01 4.516224959865212246e-02 3.422045585513114885e-01 3.433908720035105944e+01 4.672194625437259496e+00 1.076812652684748173e+03 4.067007248103618622e+01
7.728609289228915991e-01 9.302994723618031037e-01 6.611885356903075550e-01 5.968718089163303070e-02 2.441940468549728405e-01 2.118343044538050890e+01 4.452377298474312184e+00 5.979093250818550587e+02 3.980742367915809155e+01
8.093119080364704621e-01 9.618135787546634452e-01 7.122340803593396608e-01 4.430179635062813509e-02 3.030372866988182423e-01 2.612057094462215900e+01 4.522778069972991588e+00 4.664220211096107960e+02 3.946423753723502159e+01
8.987384210526943029e-01 9.540592084079980717e-01 6.227552051842212277e-01 5.117110826075076807e-02 3.612086445093155018e-01 2.802717183716595173e+01 4.301775090396404266e+00 8.875302890315651894e+02 4.007767932303249836e+01
8.875830478966235670e-01 9.921719466149807598e-01 7.039724303409456985e-01 5.799974484369158079e-02 2.940785190463066079e-01 3.018560498487204313e+01 4.676849207654595553e+00 1.028558305185288191e+03 4.061569750867784023e+01
8.195298551023006972e-01 9.249263025075197264e-01 6.143762250617146314e-01 4.746362309902906612e-02 3.923182934522628784e-01 2.453358351718634367e+01 4.497850616648793043e+00 5.511904869228601456e+02 3.997126517444849014e+01
7.633070735633372683e-01 9.734318370372057050e-01 6.992908450588584124e-01 5.151553256437182288e-02 3.311630401015281944e-01 2.287677768617868423e+01 4.527400659397244453e+00 5.130283925682306290e+02 3.925317011214792728e+01
8.539647890627384275e-01 9.411862127482891749e-01 6.696847039833664361e-01 4.332375090569257764e-02 2.730846840143204002e-01 3.227968607097864151e+01 4.347219556942581775e+00 9.356773230247199535e+02 4.014827430620789528e+01
8.202478529512882144e-01 9.697629686444998454e-01 6.282220004498958454e-01 4.185852032154798591e-02 2.579328249394893802e-01 2.905791061930358410e+01 4.574792235344648184e+00 3.307399350218474865e+02 3.902640021219849586e+01
7.521702270209789098e-01 9.568910995125771146e-01 7.187222965806722152e-01 5.360493106767535293e-02 3.559432025253772558e-01 2.715497183613479137e+01 4.350664246827363968e+00 7.533879954367876053e+02 4.039051280356943607e+01
7.856569169461726787e-01 9.860031732916831881e-01 6.478999325633049144e-01 4.771803777664899993e-02 3.774503217637539265e-01 2.037258988711982965e+01 4.624184373766183853e+00 1.182831706479191780e+03 4.085772237926721573e+01
